V	1	2	3	1&2	1&2&3
1500	107990	109758	87	2733	22
1525	108912	109573	298	2791	83
1550	108212	109628	1395	2747	257
1560	107425	109808	2573	2743	440
1575	107749	109709	4973	2779	662
1585	107559	110563	6468	2842	819
1595	107066	109347	9051	2792	1113
1600	108045	110262	10339	2787	1167
1625	107711	110826	16819	2841	1485
1650	122474	110794	23761	2849	1667
1675	107513	110036	41999	2808	1751
1700	108256	108938	185231	2808	1747
1725	107366	111006	514711	2829	1791
1800	107739	110693	1268543	2823	1823
1900	107556	110035	2597806	2767	1791
